record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_BACKPACKING_CHECKLIST-001,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Backpack (30-50L),,Backpack (30-50L),bags,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-002,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Tent + stakes + guylines,,Tent + stakes + guylines,shelter,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-003,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Sleeping bag,,Sleeping bag,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-004,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Sleeping pad,,Sleeping pad,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-005,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Headlamp + extra batteries,,Headlamp + extra batteries,electronics,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-006,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Backpacking stove + fuel,,Backpacking stove + fuel,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-007,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Cookset + utensils,,Cookset + utensils,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-008,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Map + compass,,Map + compass,navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-009,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Water bottles + treatment,,Water bottles + treatment,hydration,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-010,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,First-aid kit,,First-aid kit,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-011,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Emergency shelter,,Emergency shelter,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKPACKING_CHECKLIST-012,Backpacking Gear List: What to Bring on a Backpacking Trip,https://www.rei.com/learn/expert-advice/backpacking-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backpacking / wilderness / overnight,REI 背包徒步清单，覆盖过夜到多日荒野徒步。,Repair kit + duct tape,,Repair kit + duct tape,tools,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: https://www.rei.com/dam/backpacking_checklist_printable.pdf,2,draft,https://www.rei.com/favicon.ico
